year,breakdown_id,run_type,bus_no,route,reason,occurred_on_yr,occurred_on_month,occurred_on_day,occurred_on_time,created_on,boro,company,delay_est,passengers,schools_notified,parents_notified,opt_notified,opt_notified_on,updated_on,breakdown,school_age
2018,1471444,Special Ed AM Run,896,P742,Other,2018,10,15,7:28:00,20181015,Queens,LOGAN BUS COMPANY INC.,,0,No,No,No,2018-10-15T07:31:00.000,2019-04-26T11:49:12.000,TRUE,School-Age
2018,1471895,Special Ed AM Run,SE1307,M071,Heavy Traffic,2018,10,16,6:19:00,20181016,Manhattan,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,Yes,Yes,No,2018-10-16T06:20:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1459872,Special Ed AM Run,21,K793,Heavy Traffic,2018,9,14,8:18:00,20180914,Brooklyn,CAREFUL BUS,16-30 Min,7,Yes,Yes,No,2018-09-14T08:20:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1462055,Special Ed AM Run,16371,X359,Other,2018,9,21,6:45:00,20180921,Bronx,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2018-09-21T06:53:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1471899,Special Ed AM Run,GT1448,Y990,Heavy Traffic,2018,10,16,6:15:00,20181016,Manhattan,"DON THOMAS BUSES, INC. (B2321)",0-15 Min,0,Yes,Yes,No,2018-10-16T06:21:00.000,2018-10-16T06:25:28.000,FALSE,School-Age
2018,1471910,Special Ed AM Run,1401,W903,Heavy Traffic,2018,10,16,6:24:00,20181016,Westchester,VAN TRANS LLC (B2192),16-30 Min,0,Yes,Yes,Yes,2018-10-16T06:25:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1472049,Special Ed AM Run,1901,M817,Heavy Traffic,2018,10,16,7:08:00,20181016,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-16T07:08:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1456403,Special Ed AM Run,2414,R312,Mechanical Problem,2018,9,5,5:33:00,20180905,Staten Island,"RELIANT TRANSPORTATION, INC (B2321)",,0,No,Yes,No,2018-09-05T05:36:00.000,1900-01-01T00:00:00.000,TRUE,School-Age
2018,1472445,Special Ed PM Run,2500,Q283,Heavy Traffic,2018,10,16,14:14:00,20181016,Queens,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2018-10-16T14:15:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1472454,Special Ed AM Run,1235,Q255,Flat Tire,2018,10,16,14:18:00,20181016,Queens,HOYT TRANSPORTATION CORP.,16-30 Min,0,Yes,Yes,No,2018-10-16T14:20:00.000,2018-10-16T14:22:03.000,FALSE,School-Age
2018,1472457,Special Ed AM Run,5533D,Q328,Flat Tire,2018,10,16,14:00:00,20181016,Queens,"LORINDA ENTERPRISES, LTD.",61-90 Min,0,Yes,Yes,No,2018-10-16T14:26:00.000,2018-10-16T15:04:27.000,FALSE,School-Age
